EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PROTON_DENSITY_#/cm^3,PROTON_SPEED_km/s
2008-12-15T16:18:28.000Z,7.85770,320.930
2008-12-15T16:30:34.000Z,7.17070,322.230
2008-12-15T16:42:31.000Z,6.77460,321.150
2008-12-15T16:54:37.000Z,5.56930,320.870
2008-12-15T17:06:34.000Z,6.56980,324.620
2008-12-15T17:18:40.000Z,3.93490,322.780
2008-12-15T17:30:37.000Z,6.34570,322.200
2008-12-15T17:42:43.000Z,3.61420,322.400
2008-12-15T17:54:40.000Z,5.77010,322.950
2008-12-15T18:06:46.000Z,5.81150,319.250
2008-12-15T18:18:43.000Z,5.02070,319.430
2008-12-15T18:30:48.000Z,5.68950,316.800
2008-12-15T18:42:46.000Z,6.12100,319.490
2008-12-15T18:54:51.000Z,5.80210,317.790
2008-12-15T19:06:48.000Z,6.69000,320.290
2008-12-15T19:18:46.000Z,7.55480,324.370
2008-12-15T19:30:51.000Z,4.74700,320.440
2008-12-15T19:42:48.000Z,7.21300,322.310
2008-12-15T19:54:54.000Z,7.24850,324.210
2008-12-15T20:06:51.000Z,7.39450,325.230
2008-12-15T20:18:57.000Z,6.17600,323.650
2008-12-15T20:30:54.000Z,4.94240,327.790
2008-12-15T20:43:00.000Z,4.51690,333.970
2008-12-15T20:54:57.000Z,5.62370,334.490
2008-12-15T21:07:03.000Z,5.09980,331.770
2008-12-15T21:19:00.000Z,6.45110,327.150
2008-12-15T21:31:06.000Z,6.74400,328.340
2008-12-15T21:43:03.000Z,5.00820,332.600
2008-12-15T21:55:09.000Z,6.02870,328.750
2008-12-15T22:07:06.000Z,6.10250,330.670
2008-12-15T22:19:12.000Z,6.24680,330.430
2008-12-15T22:31:09.000Z,5.81790,327.240
2008-12-15T22:43:14.000Z,5.68650,321.140
2008-12-15T22:55:12.000Z,7.18240,334.250
2008-12-15T23:07:17.000Z,4.78100,326.410
2008-12-15T23:19:14.000Z,4.35550,323.660
2008-12-15T23:31:20.000Z,4.97130,331.710
2008-12-15T23:43:17.000Z,5.15850,337.180
2008-12-15T23:55:14.000Z,5.03740,334.720
2008-12-16T00:07:20.000Z,4.95790,336.090
2008-12-16T00:19:17.000Z,5.60000,335.860
2008-12-16T00:31:23.000Z,6.82030,332.530
2008-12-16T00:43:20.000Z,5.84830,340.100
2008-12-16T00:55:26.000Z,6.86520,336.820
2008-12-16T01:07:23.000Z,6.81990,336.690
2008-12-16T01:19:29.000Z,6.78360,336.720
2008-12-16T01:31:26.000Z,5.89650,336.230
2008-12-16T01:43:32.000Z,6.61480,333.890
2008-12-16T01:55:29.000Z,6.08260,333.260
2008-12-16T02:07:35.000Z,6.34780,333.370
2008-12-16T02:19:32.000Z,7.07970,329.550
2008-12-16T02:31:37.000Z,6.61200,330.320
2008-12-16T02:43:35.000Z,7.24300,332.880
2008-12-16T02:55:40.000Z,8.04070,330.650
2008-12-16T03:07:37.000Z,6.63090,330.880
2008-12-16T03:19:43.000Z,6.58380,329.590
2008-12-16T03:31:40.000Z,6.59000,330.240
2008-12-16T03:43:46.000Z,7.02970,328.840
2008-12-16T03:55:43.000Z,7.83160,329.350
2008-12-16T04:07:40.000Z,7.48000,328.540
2008-12-16T04:19:46.000Z,7.52860,327.370
2008-12-16T04:31:52.000Z,7.72520,325.700
2008-12-16T04:43:49.000Z,7.75440,324.130
2008-12-16T04:55:46.000Z,7.54320,326.300
2008-12-16T05:07:52.000Z,7.70180,322.370
2008-12-16T05:19:49.000Z,7.69030,321.350
2008-12-16T05:31:55.000Z,7.94800,326.350
2008-12-16T05:43:52.000Z,8.13960,327.290
2008-12-16T05:55:58.000Z,7.47540,325.850
2008-12-16T06:07:55.000Z,6.93430,327.870
2008-12-16T06:20:00.000Z,8.16610,329.210
2008-12-16T06:31:58.000Z,6.45110,324.050
2008-12-16T06:44:03.000Z,6.54670,325.360
2008-12-16T06:56:00.000Z,4.57910,331.090
2008-12-16T07:08:06.000Z,7.25650,333.370
2008-12-16T07:20:03.000Z,7.64540,335.060
2008-12-16T07:32:09.000Z,7.31820,336.970
2008-12-16T07:44:06.000Z,7.14960,336.080
2008-12-16T07:56:12.000Z,7.79840,335.260
2008-12-16T08:08:09.000Z,7.11440,334.590
2008-12-16T08:20:06.000Z,6.70850,332.910
2008-12-16T08:32:12.000Z,5.48000,330.820
2008-12-16T08:44:18.000Z,7.46370,334.260
2008-12-16T08:56:15.000Z,7.40750,335.830
2008-12-16T09:08:12.000Z,6.92040,335.920
2008-12-16T09:20:18.000Z,8.11830,334.240
2008-12-16T09:32:15.000Z,8.58460,343.640
2008-12-16T09:44:21.000Z,8.85730,343.480
2008-12-16T09:56:18.000Z,7.21830,341.740
2008-12-16T10:08:24.000Z,4.53780,346.620
2008-12-16T10:20:21.000Z,5.53340,348.960
2008-12-16T10:32:26.000Z,7.05080,350.340
2008-12-16T10:44:24.000Z,5.81610,355.110
2008-12-16T10:56:29.000Z,6.31430,355.170
2008-12-16T11:08:26.000Z,4.76070,361.560
2008-12-16T11:20:32.000Z,6.16970,361.720
2008-12-16T11:32:29.000Z,5.67240,359.530
2008-12-16T11:44:35.000Z,8.37000,353.960
2008-12-16T11:56:32.000Z,8.10670,361.060
2008-12-16T12:08:38.000Z,10.2210,358.850
2008-12-16T12:20:35.000Z,10.0980,364.940
2008-12-16T12:32:41.000Z,8.54620,360.220
2008-12-16T12:44:38.000Z,10.0400,364.600
2008-12-16T12:56:44.000Z,10.2050,360.480
2008-12-16T13:08:41.000Z,13.0450,360.770
2008-12-16T13:20:47.000Z,10.4110,353.010
2008-12-16T13:32:44.000Z,11.5650,352.050
2008-12-16T13:44:41.000Z,12.4700,352.230
2008-12-16T13:56:47.000Z,11.8410,352.760
2008-12-16T14:08:44.000Z,10.6230,352.590
2008-12-16T14:20:49.000Z,12.5810,357.210
2008-12-16T14:32:47.000Z,9.97930,356.520
2008-12-16T14:44:52.000Z,13.6870,353.250
2008-12-16T14:56:49.000Z,11.6400,349.260
2008-12-16T15:08:55.000Z,10.9290,349.160
2008-12-16T15:20:52.000Z,9.20210,347.480
2008-12-16T15:32:58.000Z,10.5310,345.350
2008-12-16T15:44:55.000Z,10.8510,347.430
2008-12-16T15:57:01.000Z,9.40600,353.510
2008-12-16T16:08:58.000Z,11.8110,339.840
2008-12-16T16:21:04.000Z,11.4110,343.140
2008-12-16T16:33:01.000Z,10.5420,344.860
2008-12-16T16:45:07.000Z,11.8200,347.270
2008-12-16T16:57:04.000Z,15.8370,346.390
2008-12-16T17:09:10.000Z,12.9020,345.070
2008-12-16T17:21:07.000Z,12.2240,345.990
2008-12-16T17:33:12.000Z,11.8430,347.480
2008-12-16T17:45:10.000Z,12.8830,347.550
2008-12-16T17:57:07.000Z,13.8380,343.290
2008-12-16T18:09:12.000Z,15.2750,342.880
2008-12-16T18:21:10.000Z,15.2530,342.930
2008-12-16T18:33:15.000Z,15.1300,345.400
2008-12-16T18:45:12.000Z,16.2300,344.020
2008-12-16T18:57:18.000Z,17.6810,342.550
2008-12-16T19:09:15.000Z,16.5890,343.880
2008-12-16T19:21:21.000Z,17.0410,352.780
2008-12-16T19:33:18.000Z,14.4450,357.390
2008-12-16T19:45:24.000Z,18.1540,352.420
2008-12-16T19:57:21.000Z,14.2690,349.250
2008-12-16T20:09:27.000Z,15.0500,349.610
2008-12-16T20:21:24.000Z,15.6810,350.070
2008-12-16T20:33:30.000Z,14.2240,349.470
2008-12-16T20:45:27.000Z,13.1530,349.580
2008-12-16T20:57:33.000Z,14.8380,350.730
2008-12-16T21:09:30.000Z,14.6120,348.900
2008-12-16T21:21:36.000Z,20.3920,351.400
2008-12-16T21:33:33.000Z,20.1030,351.910
2008-12-16T21:45:38.000Z,20.4980,351.690
2008-12-16T21:57:36.000Z,21.1810,352.100
2008-12-16T22:09:41.000Z,10.9970,349.540
2008-12-16T22:21:38.000Z,18.5910,351.450
2008-12-16T22:33:36.000Z,22.6190,352.230
2008-12-16T22:45:41.000Z,15.5630,349.740
2008-12-16T22:57:38.000Z,21.3160,350.870
2008-12-16T23:09:44.000Z,17.9920,351.380
2008-12-16T23:21:41.000Z,17.1960,352.940
2008-12-16T23:33:47.000Z,13.2120,358.440
2008-12-16T23:45:44.000Z,13.7100,358.060
2008-12-16T23:57:50.000Z,19.1260,358.710
2008-12-17T00:09:47.000Z,19.0020,353.180
2008-12-17T00:21:53.000Z,16.8060,357.350
2008-12-17T00:33:50.000Z,16.6150,354.450
2008-12-17T00:45:56.000Z,24.3470,359.690
2008-12-17T00:57:53.000Z,13.5450,354.990
2008-12-17T01:09:59.000Z,15.4030,357.890
2008-12-17T01:21:56.000Z,15.2040,358.370
2008-12-17T01:34:01.000Z,19.9650,353.400
2008-12-17T01:45:59.000Z,18.2820,354.690
2008-12-17T01:58:04.000Z,17.9070,354.900
2008-12-17T02:10:01.000Z,15.2520,356.270
2008-12-17T02:22:07.000Z,12.8570,356.520
2008-12-17T02:34:04.000Z,22.5060,358.430
2008-12-17T02:46:10.000Z,14.3180,355.510
2008-12-17T02:58:07.000Z,14.3880,356.060
2008-12-17T03:10:04.000Z,13.2580,355.080
2008-12-17T03:22:10.000Z,14.1970,352.970
2008-12-17T03:34:16.000Z,14.5110,353.970
2008-12-17T03:46:13.000Z,3.27690,352.000
2008-12-17T03:58:10.000Z,2.13310,350.380
2008-12-17T04:10:16.000Z,1.23160,340.490
2008-12-17T04:22:13.000Z,1.05680,336.410
2008-12-17T04:34:19.000Z,0.883250,335.220
2008-12-17T04:46:16.000Z,1.15220,340.510
2008-12-17T04:58:22.000Z,1.14720,340.640
2008-12-17T05:10:19.000Z,1.11190,341.090
2008-12-17T05:22:24.000Z,0.914540,342.470
2008-12-17T05:34:22.000Z,1.14020,340.120
2008-12-17T05:46:27.000Z,0.657140,327.830
2008-12-17T05:58:24.000Z,0.901890,339.440
2008-12-17T06:10:30.000Z,0.938940,339.700
2008-12-17T06:22:27.000Z,1.06640,340.360
2008-12-17T06:34:33.000Z,1.88130,337.110
2008-12-17T06:46:30.000Z,2.54230,334.990
2008-12-17T06:58:36.000Z,1.97790,340.120
2008-12-17T07:10:33.000Z,2.53020,338.540
2008-12-17T07:22:39.000Z,4.13570,337.270
2008-12-17T07:34:36.000Z,3.58870,337.710
2008-12-17T07:46:42.000Z,1.22340,332.790
2008-12-17T07:58:39.000Z,1.19380,336.190
2008-12-17T08:10:45.000Z,1.20280,335.670
2008-12-17T08:22:42.000Z,1.28270,341.310
2008-12-17T08:34:39.000Z,1.64120,337.880
2008-12-17T08:46:45.000Z,1.17150,336.180
2008-12-17T08:58:42.000Z,1.45520,335.270
2008-12-17T09:10:48.000Z,1.44500,332.100
2008-12-17T09:22:45.000Z,0.607070,330.260
2008-12-17T09:34:50.000Z,1.17490,334.990
2008-12-17T09:46:48.000Z,1.48650,330.720
2008-12-17T09:58:53.000Z,1.54130,328.240
2008-12-17T10:10:50.000Z,1.59710,338.160
2008-12-17T10:22:56.000Z,1.28680,330.400
2008-12-17T10:34:53.000Z,1.39940,331.320
2008-12-17T10:46:59.000Z,1.54860,333.520
2008-12-17T10:58:56.000Z,1.75350,329.400
2008-12-17T11:11:02.000Z,1.89170,329.460
2008-12-17T11:22:59.000Z,1.94650,326.090
2008-12-17T11:35:05.000Z,1.97050,328.120
2008-12-17T11:47:02.000Z,2.05320,327.660
2008-12-17T11:59:08.000Z,4.89200,331.930
2008-12-17T12:11:05.000Z,2.72880,331.080
2008-12-17T12:23:11.000Z,1.89880,330.550
2008-12-17T12:35:08.000Z,1.84980,326.020
2008-12-17T12:47:13.000Z,1.48710,330.350
2008-12-17T12:59:11.000Z,1.52690,328.310
2008-12-17T13:11:08.000Z,1.53040,333.680
2008-12-17T13:23:13.000Z,1.58650,329.860
2008-12-17T13:35:11.000Z,1.52560,327.020
2008-12-17T13:47:16.000Z,2.09830,328.580
2008-12-17T13:59:13.000Z,3.80910,321.240
2008-12-17T14:11:19.000Z,6.38280,317.850
2008-12-17T14:23:16.000Z,6.14200,317.350
2008-12-17T14:35:22.000Z,6.30720,314.980
2008-12-17T14:47:19.000Z,9.18850,319.550
2008-12-17T14:59:25.000Z,9.32580,320.500
2008-12-17T15:11:22.000Z,9.60720,317.680
2008-12-17T15:23:28.000Z,9.79050,314.550
2008-12-17T15:35:25.000Z,10.1660,315.750
2008-12-17T15:47:31.000Z,8.34230,316.980
2008-12-17T15:59:28.000Z,10.1490,314.570
2008-12-17T16:11:34.000Z,6.78710,313.670
2008-12-17T16:23:31.000Z,7.47360,312.560
2008-12-17T16:35:36.000Z,9.52640,307.900
2008-12-17T16:47:34.000Z,9.97880,309.750
2008-12-17T16:59:39.000Z,10.1170,313.190
2008-12-17T17:11:36.000Z,10.4430,313.960
2008-12-17T17:23:42.000Z,9.79140,311.470
2008-12-17T17:35:39.000Z,9.93080,315.490
2008-12-17T17:47:36.000Z,7.92120,318.050
2008-12-17T17:59:42.000Z,12.4000,311.590
2008-12-17T18:11:39.000Z,11.3510,315.260
2008-12-17T18:23:45.000Z,10.9310,314.910
2008-12-17T18:35:42.000Z,11.8100,314.620
2008-12-17T18:47:48.000Z,10.6340,313.890
2008-12-17T18:59:45.000Z,10.7740,315.980
2008-12-17T19:11:51.000Z,9.18130,307.600
2008-12-17T19:23:48.000Z,10.2470,318.760
2008-12-17T19:35:54.000Z,10.5660,319.820
2008-12-17T19:47:51.000Z,7.95340,317.790
2008-12-17T19:59:57.000Z,9.86480,316.290
2008-12-17T20:11:54.000Z,6.82690,314.780
2008-12-17T20:24:00.000Z,7.63700,316.020
2008-12-17T20:35:57.000Z,5.60490,318.470
2008-12-17T20:48:02.000Z,6.26250,316.110
2008-12-17T21:00:00.000Z,6.65120,316.880
2008-12-17T21:12:05.000Z,7.20940,315.980
2008-12-17T21:24:02.000Z,6.56940,317.550
2008-12-17T21:36:08.000Z,8.28060,319.090
2008-12-17T21:48:05.000Z,6.52260,317.860
2008-12-17T22:00:11.000Z,5.70090,316.470
2008-12-17T22:12:08.000Z,5.11380,313.040
2008-12-17T22:24:05.000Z,6.09520,316.340
2008-12-17T22:36:11.000Z,5.22840,319.260
2008-12-17T22:48:17.000Z,6.35570,321.170
2008-12-17T23:00:14.000Z,7.65470,319.910
2008-12-17T23:12:11.000Z,6.42560,322.630
2008-12-17T23:24:17.000Z,6.01220,321.280
2008-12-17T23:36:14.000Z,5.58260,322.760
2008-12-17T23:48:20.000Z,6.03980,321.960
2008-12-18T00:00:17.000Z,6.03330,321.900
2008-12-18T00:12:23.000Z,6.65480,324.050
2008-12-18T00:24:20.000Z,7.21520,323.110
2008-12-18T00:36:25.000Z,7.60150,321.640
2008-12-18T00:48:23.000Z,7.17320,319.790
2008-12-18T01:00:28.000Z,4.55160,316.050
2008-12-18T01:12:25.000Z,4.07980,313.460
2008-12-18T01:24:31.000Z,5.79010,313.420
2008-12-18T01:36:28.000Z,5.27190,310.160
2008-12-18T01:48:34.000Z,6.11830,312.080
2008-12-18T02:00:31.000Z,5.81880,308.230
2008-12-18T02:12:37.000Z,5.88840,311.810
2008-12-18T02:24:34.000Z,6.30430,317.770
2008-12-18T02:36:40.000Z,8.11160,315.560
2008-12-18T02:48:37.000Z,8.74790,321.830
2008-12-18T03:00:43.000Z,6.89980,315.580
2008-12-18T03:12:40.000Z,7.08820,316.060
2008-12-18T03:24:46.000Z,7.30460,314.910
2008-12-18T03:36:43.000Z,7.76850,315.790
2008-12-18T03:48:40.000Z,7.12110,318.700
2008-12-18T04:00:46.000Z,6.84070,317.800
2008-12-18T04:12:43.000Z,6.47320,317.960
2008-12-18T04:24:48.000Z,5.92470,319.190
2008-12-18T04:36:46.000Z,8.12100,323.630
2008-12-18T04:48:51.000Z,8.05180,320.530
2008-12-18T05:00:48.000Z,7.05500,322.220
2008-12-18T05:12:54.000Z,7.29750,321.180
2008-12-18T05:24:51.000Z,5.73890,323.120
2008-12-18T05:36:57.000Z,5.89550,324.140
2008-12-18T05:48:54.000Z,6.09930,324.760
2008-12-18T06:01:00.000Z,7.00080,326.480
2008-12-18T06:12:57.000Z,6.58570,321.870
2008-12-18T06:25:03.000Z,6.92620,321.750
2008-12-18T06:37:00.000Z,6.34250,323.820
2008-12-18T06:49:06.000Z,6.15700,325.410
2008-12-18T07:01:03.000Z,7.12140,320.060
2008-12-18T07:13:09.000Z,7.04600,318.440
2008-12-18T07:25:06.000Z,7.02370,317.370
2008-12-18T07:37:12.000Z,6.33370,321.060
2008-12-18T07:49:09.000Z,6.35180,325.710
2008-12-18T08:01:14.000Z,6.23050,328.350
2008-12-18T08:13:12.000Z,6.86360,323.650
2008-12-18T08:25:17.000Z,5.99110,325.250
2008-12-18T08:37:14.000Z,6.32490,328.060
2008-12-18T08:49:12.000Z,5.63880,324.910
2008-12-18T09:01:17.000Z,6.59610,322.900
2008-12-18T09:13:14.000Z,5.84660,319.920
2008-12-18T09:25:20.000Z,3.93220,312.340
2008-12-18T09:37:17.000Z,6.72440,315.390
2008-12-18T09:49:23.000Z,6.11140,315.630
2008-12-18T10:01:20.000Z,7.64310,317.450
2008-12-18T10:13:26.000Z,7.31820,315.940
2008-12-18T10:25:23.000Z,7.32450,315.200
2008-12-18T10:37:29.000Z,6.56300,316.500
