EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,BX_GSE_(@_x_component_)_nT,BY_GSE_(@_y_component_)_nT,BZ_GSE_(@_z_component_)_nT
2008-12-16T04:00:00.000Z,0.0780000,0.256000,-0.564000
2008-12-16T05:00:00.000Z,0.0210000,-0.378000,-0.566000
2008-12-16T06:00:00.000Z,0.370000,0.0470000,-1.22800
2008-12-16T07:00:00.000Z,0.474000,-0.0980000,-0.607000
2008-12-16T08:00:00.000Z,-0.439000,-0.103000,-0.726000
2008-12-16T09:00:00.000Z,0.0350000,0.763000,-1.42400
2008-12-16T10:00:00.000Z,-2.53100,-2.74200,-0.630000
2008-12-16T11:00:00.000Z,-4.58300,-5.76500,1.51500
2008-12-16T12:00:00.000Z,-4.38500,-4.16800,-2.42600
2008-12-16T13:00:00.000Z,-2.89600,-1.95200,-2.54000
2008-12-16T14:00:00.000Z,-2.30800,-3.04000,-2.78700
2008-12-16T15:00:00.000Z,-2.20800,-1.46800,-2.28100
2008-12-16T16:00:00.000Z,-0.697000,-1.39200,-1.37600
2008-12-16T17:00:00.000Z,-2.37700,-1.75700,-1.48500
2008-12-16T18:00:00.000Z,-2.05900,-1.51000,-2.35600
2008-12-16T19:00:00.000Z,-2.20300,-3.20900,1.57800
2008-12-16T20:00:00.000Z,-3.12000,-5.69700,-0.214000
2008-12-16T21:00:00.000Z,-1.60900,-2.48100,-3.21500
2008-12-16T22:00:00.000Z,-1.49500,-3.35700,-0.498000
2008-12-16T23:00:00.000Z,-1.41800,-2.63500,0.688000
2008-12-17T00:00:00.000Z,-1.80400,-2.92700,-4.33400
2008-12-17T01:00:00.000Z,-0.401000,2.55800,-5.20900
2008-12-17T02:00:00.000Z,-0.519000,-5.37300,0.865000
2008-12-17T03:00:00.000Z,-0.676000,-6.21300,5.51700
2008-12-17T04:00:00.000Z,-2.69100,-8.60200,3.15300
2008-12-17T05:00:00.000Z,-2.80700,-8.76400,1.23600
2008-12-17T06:00:00.000Z,-2.20100,-8.72400,0.127000
2008-12-17T07:00:00.000Z,-1.72900,-8.36300,-0.762000
2008-12-17T08:00:00.000Z,-1.04700,-8.39600,-1.01300
2008-12-17T09:00:00.000Z,-0.986000,-8.12300,-1.33100
2008-12-17T10:00:00.000Z,-0.283000,-7.45500,-3.34700
2008-12-17T11:00:00.000Z,-0.178000,-7.10100,-3.51700
2008-12-17T12:00:00.000Z,0.0700000,-5.80200,-5.00500
2008-12-17T13:00:00.000Z,0.0360000,-5.03100,-5.39700
2008-12-17T14:00:00.000Z,1.33200,-1.90200,-5.22900
2008-12-17T15:00:00.000Z,0.852000,-1.16800,-3.86400
2008-12-17T16:00:00.000Z,0.196000,-1.88100,-3.76100
2008-12-17T17:00:00.000Z,-0.520000,-2.24600,-3.65300
2008-12-17T18:00:00.000Z,0.498000,-1.27900,-1.75400
2008-12-17T19:00:00.000Z,-0.603000,-0.218000,-2.09400
2008-12-17T20:00:00.000Z,-0.0360000,3.49700,-1.34100
2008-12-17T21:00:00.000Z,0.676000,4.01400,-0.285000
2008-12-17T22:00:00.000Z,0.282000,3.68500,-0.542000
2008-12-17T23:00:00.000Z,-0.0840000,3.64800,-0.692000
2008-12-18T00:00:00.000Z,-0.667000,2.92100,-0.260000
