,front,time,el,el_lo,el_hi
49,Draw OUTER front,2008-12-13 02:09:36,11.670300483703613,11.073077201843262,12.546862602233887
50,Draw THIRD front,2008-12-13 02:09:36,9.166769027709961,8.691544532775879,9.702108383178711
51,Draw INNER front,2008-12-13 02:49:36,11.03361988067627,10.47687816619873,11.571076393127441
52,Draw OUTER front,2008-12-13 02:49:36,12.826251029968262,11.551167488098145,13.384520530700684
53,Draw THIRD front,2008-12-13 02:49:36,9.127472877502441,8.612730979919434,9.642921447753906
54,Draw INNER front,2008-12-13 03:29:36,11.033000946044922,10.45638656616211,11.670012474060059
55,Draw OUTER front,2008-12-13 03:29:36,12.606368064880371,11.869155883789062,13.324081420898438
56,Draw THIRD front,2008-12-13 03:29:36,9.602628707885742,9.126853942871094,10.098807334899902
57,Draw INNER front,2008-12-13 04:09:36,11.391963005065918,10.794992446899414,12.069008827209473
58,Draw OUTER front,2008-12-13 04:09:36,13.344683647155762,12.547237396240234,14.102632522583008
59,Draw THIRD front,2008-12-13 04:09:36,10.039899826049805,9.543789863586426,10.536545753479004
60,Draw INNER front,2008-12-13 04:49:36,12.048572540283203,11.431256294250488,12.686244010925293
61,Draw OUTER front,2008-12-13 04:49:36,14.461101531982422,13.603409767150879,15.039408683776855
62,Draw THIRD front,2008-12-13 04:49:36,10.416791915893555,9.920268058776855,10.893913269042969
63,Draw INNER front,2008-12-13 05:29:36,12.347297668457031,11.769588470458984,12.905386924743652
64,Draw OUTER front,2008-12-13 05:29:36,14.50085163116455,13.862533569335938,15.218719482421875
65,Draw THIRD front,2008-12-13 05:29:36,10.675043106079102,10.198121070861816,11.172401428222656
66,Draw INNER front,2008-12-13 06:09:36,12.526970863342285,11.929234504699707,13.18482780456543
67,Draw OUTER front,2008-12-13 06:09:36,15.498136520385742,14.700592994689941,16.036235809326172
68,Draw THIRD front,2008-12-13 06:09:36,10.854314804077148,10.377228736877441,11.35181999206543
69,Draw INNER front,2008-12-13 06:49:36,13.344223976135254,12.62650203704834,13.98250961303711
70,Draw OUTER front,2008-12-13 06:49:36,15.6176118850708,14.800177574157715,16.15565299987793
71,Draw THIRD front,2008-12-13 06:49:36,11.272088050842285,10.754764556884766,11.809609413146973
